# [1]: "The astronomical unit now", EM Standish, 2004
# [2]: "The Determination of the Astronomical Unit", GR Atkins, 1964
year,author,value,uncertainty,ref
1672,Richer+Cassini,140012928000,,[2]
1672,Flamsteed,131644339200,,[2] # Richer+Cassini + 0.5sec parralax
1672,Picard,65983104000,,[2]
1672,Lahere,218870784000,,[2]
1824,Encke,153290016000,,[2]
1854,Hansen,146852640000,,[2] # Encke - 4million miles
1862,Stone,146450304000,,[2]
1862,Winneke,146450304000,,[2]
1862,Newcomb,148059648000,,[2]
1869,Newcomb,149668992000,,[2]
1874,UK,150272496000,,[2]
1879,Gill,149797739520,,[2]
1931,Jones,149675429376,17702784,[2]
# 1931,Jones,149669870691,,[1]
1941,Adams,149412870691,,[1]
1942,Brouwer,149578870691,,[1]
1950,Rabe,149524870691,,[1]
1958,radar,149467870691,,[1]
1958,radar,149467870691,,[1]
1959,radar,149457870691,,[1]
1961,radar,149598870691,,[1]
1961,radar,149597700691,,[1]
1961,radar,149599870691,,[1]
1961,radar,149595870691,,[1]
1961,radar,149598000691,,[1]
1967,PEP,149597871451,,[1]
1968,Lieske,149600400691,,[1]
# DE69 [1]
# DE96 [1]
1979,DE200,149597870660,,[1]